text,label,requested_label
"Sony to Acquire Ericsson's Share in JV, Strengthening Mobile Phone Business",Business,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
"SAN FRANCISCO, Calif. - Salesforce.com, the world's largest customer relationship management (CRM) provider, reported a 20% increase in revenue for the second quarter, driven by strong demand for its cloud-based software and services. The company's revenue rose to $2.2 billion, topping analyst expectations. Salesforce.com's stock price surged 5% in after-hours trading on the news. #Salesforce #CRM #CloudComputing",Business,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
"Cristiano Ronaldo scored his 700th career goal in style, leading Manchester United to a thrilling 3-2 victory over Chelsea in a thrilling Premier League match. The Portuguese forward, who is widely regarded as one of the greatest soccer players of all time, celebrated his milestone goal with a trademarked roar and a triumphant fist pump. Ronaldo's record-breaking strike capped off a dominant performance from United, who are now just one point behind league leaders Liverpool. Despite a late scare from Chelsea, United held on for the win and continue to prove their title credentials. With this victory, Ronaldo solidified his position as the greatest goal-scorer in the history of the Premier League and cemented his legacy as one of the greatest soccer players of all time.",Sports,Sports
"NASA's new spacecraft, the Dragonfly, has successfully entered the atmosphere of Saturn's moon, Titan. The mission, which aims to explore the surface of Titan, is expected to provide valuable insights into the moon's unique environment and potential for life. #SciTech #SpaceExploration",Sci/Tech,Sci/Tech
Amazon to Acquire Whole Foods Market in $13.7 Billion Deal,Business,Business
"NASA's Parker Solar Probe has successfully entered the sun's corona, becoming the first spacecraft to ever do so. The probe, launched in 2018, has been studying the sun's outer atmosphere and providing valuable insights into the sun's behavior. The corona, which is the outermost layer of the sun, is a region of intense heat and magnetic activity that is not well understood. The probe's data will help scientists better understand the sun's role in the solar system and the universe as a whole.",Sci/Tech,Sci/Tech
"CBC SPORTS ONLINE - Peyton Manning threw for a career-high 472 yards and five touchdowns on 25-of-44 passing, but his last-ditch comeback attempt ended with an interception in the end zone in the closing minutes as Kansas City outlasted Indianapolis 45-35.",Sports,Sports
"North Korea has announced that it has successfully tested a new ballistic missile, raising concerns about the country's military capabilities and its intentions in the region. The missile, known as the Kwangmyongungsung-1, was launched from a site in the country's northwest and flew for about 30 minutes before landing in the sea. The test has been condemned by the United States and other countries in the region, who fear that the development of the missile could lead to a destabilizing arms race.",World,World
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business,
"Houston's Kris Brown caps a Texans rally by nailing a 50-yard field goal with 2 seconds left for a 24-21 victory over the Kansas City Chiefs, dropping the defending AFC West champs to 0-3.",Sports,Sports
"Global trade tensions are causing concern for businesses and investors alike, as the ongoing tariff dispute between the US and China shows no signs of abating. The World Trade Organization has warned that the trade war could lead to a global economic slowdown, with some experts predicting a recession in 2023. Companies are bracing for the worst, with many already feeling the impact of the tariffs on their bottom line. As the situation continues to unfold, businesses are being advised to diversify their supply chains and explore new markets to mitigate the risks of the trade war.",Business,Business
Auburn Hills - (11/29/04)--Auburn Hills police say they have identified the chair thrower from the Pistons/Pacers brawl. The suspect who allegedly threw the chair is a 35-year-old man from Genesee County's Mundy Township.,Sports,Sports
"New AI Algorithm Can Predict Heart Attacks With 90% Accuracy. Researchers at MIT have developed an AI algorithm that can predict heart attacks with 90% accuracy, using a combination of medical imaging and machine learning techniques. The algorithm could potentially revolutionize heart disease diagnosis and treatment.",Sci/Tech,Sci/Tech
"The global COVID-19 pandemic continues to wreak havoc on economies and societies worldwide. According to the latest reports, the number of infected individuals has reached a staggering 200 million, with the death toll exceeding 4 million. The pandemic has exposed weaknesses in healthcare systems, highlighted the need for international cooperation, and accelerated the development of vaccines and treatments. As the world struggles to contain the virus, leaders are calling for increased investment in global health infrastructure and a renewed commitment to multilateralism.",World,World
"NASA's Curiosity rover has discovered evidence of a past water on Mars, according to a new study. The rover found sedimentary rocks on the planet that contain signs of ancient lakes and rivers. The discovery could help scientists better understand the history of life on Mars and the possibility of life existing there today. #Mars #SciTech",Sci/Tech,Sci/Tech
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World,
"NASA's Curiosity rover has discovered evidence of a past watery environment on Mars, according to a new study. The rover found sedimentary rocks that contain clay minerals, which are formed in the presence of water. The discovery suggests that Mars may have once had a more Earth-like climate, with liquid water flowing on its surface. This finding could have implications for the search for extraterrestrial life and the possibility of human exploration of the Red Planet.",Sci/Tech,Sci/Tech
"The global COVID-19 pandemic continues to wreak havoc on economies and societies worldwide. The World Health Organization has warned of a potential third wave of the virus, as cases surge in several countries. Leaders from around the world are meeting to discuss strategies for containing the virus and mitigating its impact on vulnerable populations. #COVID19 #WorldHealthOrganization",World,World
"Oakland, CA (Sports Network) - The Orlando Magic activated forward Pat Garrity from the injured list on Friday and placed forward Brandon Hunter on the IL with a hyperextended right elbow. Garrity is expected to provide a boost to the Magic's offense, which has struggled in recent games. Meanwhile, Hunter's injury is a setback for the team, but they are confident in his ability to recover and return to full strength. #Sports #Basketball",Sports,Sports
"Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. The material, called 'CO2-Tech,' is made of a special type of graphene and could help reduce carbon emissions and combat climate change. #SciTech #ClimateChange",Sci/Tech,Sci/Tech
"Researchers at MIT have developed a new AI algorithm that can analyze medical images with unprecedented accuracy. The algorithm, which uses a combination of machine learning and computer vision techniques, can detect subtle abnormalities in brain scans with 90% accuracy. The breakthrough could lead to earlier diagnosis and treatment of neurological disorders.",Sci/Tech,Sci/Tech
Google to Acquire Apple for $1 Trillion in Blockbuster Deal,Business,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clasico,Sports,Sports
"MILAN (AP) - The United Nations announced today that it has reached a historic agreement with North Korea to dismantle its nuclear weapons program in exchange for economic and political incentives. The deal, which was reached after months of secret negotiations, is seen as a major breakthrough in the ongoing efforts to stabilize the volatile region.",World,World
"Researchers have discovered a new species of ancient human in the Philippines, which may have co-existed with the famous
Velicovcan eruption 40,000 years ago. The findings were published in the journal Nature on Wednesday. #SciTech",Sci/Tech,Sci/Tech
"The company's upcoming earnings report is expected to be a mixed bag, with some analysts predicting a decline in profits while others see a possible turnaround. Despite the uncertainty, investors remain optimistic about the company's long-term prospects.",Business,Business
"Syrian President Bashar al-Assad has announced that his country will withdraw from the International Criminal Court, citing interference from Western powers. The move comes as tensions between Syria and the UN continue to escalate. #Syria #InternationalCriminalCourt #UN",World,World
"Troy Smith barely got on the field for Ohio State this season. After the Buckeyes' biggest game of the year, he had trouble getting off of it.",Sports,Sports
"Oracle CEO Larry Ellison takes the witness stand in Delaware court, says deal is 'not as good as we thought'",Business,Business
"SAN FRANCISCO (AP) -- Tech giant Apple is expected to unveil its newest product lineup tomorrow, including a highly anticipated smartwatch with advanced health features. The company is also expected to announce updates to its iPhone and iPad lines. The event kicks off at 10am PT at the Steve Jobs Theater on the company's Cupertino campus.",Business,Business
Syrian refugees face new challenges as winter sets in,World,World
