text,label
"The ongoing conflict in Ukraine has resulted in a significant increase in the number of refugees seeking asylum in Europe. The United Nations has called for an immediate ceasefire and humanitarian aid to be delivered to the affected areas. Meanwhile, the global economy is showing signs of slowing down, with major stock markets experiencing a decline in recent days. In other news, the United States and China have agreed to a phase one trade deal, which is expected to have a positive impact on the global economy. However, the deal has been met with criticism from some quarters, with concerns being raised about the potential impact on American jobs and the overall fairness of the agreement. In the meantime, the ongoing COVID-19 pandemic continues to be a major concern for people around the world, with new cases and hospitalizations on the rise in several countries.",World
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World
Apple announces new iPhone with improved camera and faster charging,Business
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-1 in El Clásico,Sports
S&P 500 reaches new high as tech stocks surge,Business
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech
Sales of electric vehicles surge as consumers turn to eco-friendly options,Business
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World
Microsoft unveils new AI-powered tool to streamline business operations,Business
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business
