text,label,requested_label
"NASA's new spacecraft, the Perseverance, has successfully landed on Mars and is set to explore the red planet's surface. The craft is equipped with advanced technology, including a state-of-the-art robotic arm and a suite of scientific instruments to study the Martian environment. #MarsLanding #SpaceExploration #Science",Sci/Tech,Sci/Tech
"WASHINGTON - The Congressional Budget Office projected Tuesday that this election-year''s federal deficit will hit a record \$422 billion, a shortfall that would be smaller than analysts predicted earlier this year.    The figure immediately provided political fodder for both parties now in the final two-month stretch of the presidential and congressional campaigns...",World,
Syrian Refugees Find Hope in Canadian Resettlement Program,World,World
"Nortel Networks said on Thursday it will slash its work force by 3,500, or 10 percent, as it struggles to recover from an accounting scandal that toppled three top executives and led to a criminal investigation and lawsuits.",Sci/Tech,
"HEMPSTEAD, NY - He was drafted in the first round in 2000 out of Marshall, at the head of the same quarterback class that yielded Tom Brady, but Chad Pennington #39;s road to success has been more deliberate.",Sports,
"Lionel Messi scored a hat-trick as Barcelona beat Manchester United 3-0 in the Champions League final. Messi's first goal was a stunning free kick from 25 yards out, and his second was a clinical finish into the bottom left corner. His third was a beautiful dribble past several defenders before finishing with a low shot into the far corner. Barcelona's victory brings their tally to four Champions League titles, and Messi's performance cements his status as the greatest player of all time.",Sports,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clasico,Sports,Sports
"Australia #39;s biggest retailer, Coles Myer, hopes it has silenced its detractors by posting a record annual profit, which was above its own guidance and market expectations.",Business,
"The free Firefox Web browser, which has chipped away at the market dominance of Microsoft #39;s Internet Explorer, has been readied for a full release including new features designed to make it more stable, backers of the program say.",Sci/Tech,
"NASA's Kepler space telescope has discovered a potentially habitable exoplanet orbiting a nearby star. The exoplanet, known as K2-18b, is located just 111 light-years from Earth and has a thick atmosphere that could support life. Scientists are excited about the discovery and are already planning follow-up observations to learn more about the planet's composition and potential habitability. #KeplerTelescope #Exoplanet #AlienLife",Sci/Tech,Sci/Tech
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business,
"Taiwan rescue workers dug out seven bodies from mud and rock in a mountain village that was hit by a devastating landslide triggered by Typhoon Aere, but eight still remained buried, officials said on Friday.",World,
"Amazon announces plans to expand its grocery delivery service to 100 new cities, aiming to reach 80% of the US population by 2025.",Business,Business
US Airways Group Inc. met with two unions to try and agree on concessions before an Oct. 7 hearing at which a bankruptcy judge might let the carrier temporarily reduce pay 23 percent to help avoid potential liquidation.,Business,
Researchers at MIT have developed a new material that can absorb and convert 100% of the sun's energy into electricity. This breakthrough could potentially revolutionize the way we generate power and reduce our reliance on fossil fuels. #SciTech #RenewableEnergy,Sci/Tech,Sci/Tech
"Sony is set to launch a new line of high-end TVs, featuring cutting-edge OLED technology and sleek designs. The new TVs are expected to be priced around $2,000, making them some of the most expensive on the market. Despite the high cost, analysts say the TVs are likely to be a hit with consumers looking for a premium viewing experience. #Sony #TVs #HighEndTech",Business,Business
"Amazon Prime Day sales reach new heights, with over $3 billion in sales in the first 12 hours. Analysts predict continued growth as the event expands into new markets. #AmazonPrimeDay #Business",Business,Business
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World,
"Lleyton Hewitt of Australia moved into the quarterfinals of the Legg Mason Tennis Classic with a 6-3, 6-2 victory over Alejandro Falla of Colombia in Washington. Hewitt, 32, won 14 of the last 17 games to secure the win and advance to the next round. The victory was Hewitt's 50th career win at the ATP Tour level.",Sports,Sports
"LONDON (Reuters) - The United Nations Security Council held an emergency meeting on Monday to discuss the ongoing crisis in Ukraine, after Russian President Vladimir Putin ordered the deployment of troops to the border with Ukraine. The move has raised concerns of a potential military conflict in the region. #Ukraine #Russia #WorldNews",World,World
"Global software giant Microsoft has announced plans to acquire AI startup Bonsai for an undisclosed amount. Bonsai's technology will help Microsoft enhance its Azure cloud platform with AI-powered tools for developers. The deal is expected to close by the end of the year, pending regulatory approvals.",Business,Business
TORONTO (CP) - Frank Menechino hit a tie-breaking home run in the seventh inning as the Toronto Blue Jays rallied to beat the Seattle Mariners 4-2 on Wednesday.,Sports,Sports
"Microsoft unveils new AI-powered business software, set to revolutionize industry",Business,Business
"Lionel Messi scored his 700th career goal in Barcelona's 3-0 win over Levante on Saturday, cementing his status as one of the greatest soccer players of all time. The Argentine forward, who has won numerous accolades and broken numerous records throughout his career, is now just 10 goals away from breaking Pele's all-time scoring record. #Messi #Soccer #Goals",Sports,Sports
AP - The game between the Minnesota Twins and the New York Yankees on Tuesday night was postponed by rain.,Sports,
"SAN FRANCISCO (Reuters) - Twitter announced plans to expand its advertising business by offering new targeting options for marketers, including the ability to reach users based on their interests and behaviors on and off the platform. The move is expected to boost Twitter's revenue growth and solidify its position as a leading social media advertising platform. #Twitter #Advertising #Marketing",Business,Business
"NASA's latest Mars rover has discovered evidence of liquid water on the Red Planet. The rover, called Perseverance, used its onboard instruments to detect the presence of water molecules in the Martian soil. This discovery could have significant implications for future human exploration of Mars and the search for extraterrestrial life. #Mars #WaterOnMars #SciTech",Sci/Tech,Sci/Tech
"AUBURN HILLS, Mich. -- The potential loss of Gary Payton with a strained left hamstring was briefly a laughing matter last night after the Celtics dropped a 100-88 decision to the Pistons. When asked how he would get through one and possibly many more games without the veteran point guard, coach Doc Rivers decided he would call up executive director ...",Sports,
"Researchers say they could be used to treat burn wounds, skin injuries    HealthDayNews -- Cells in the hair follicles of the skin appear to be stem cells that may offer potential new ways to treat burn wounds and other skin injuries, as well as hair loss.    That''s the promising conclusion of a study in the Sept...",Sci/Tech,
"Lionel Messi scored a hat-trick as Barcelona beat Manchester United 3-0 in the Champions League final. Messi's first goal was a stunning free kick that curled into the top corner of the net. His second was a precise through ball that found him in space and he finished with a clinical finish. His third was a solo effort, as he outran the United defense and slotted the ball past the keeper.",Sports,Sports
"Oracle follows Microsoft and decides to roll patches out on a monthly timetable, but does that make customers more secure?",Business,Business
"Liverpool FC has confirmed the signing of forward Diogo Jota from Wolverhampton Wanderers for a fee believed to be around £45 million. The 21-year-old Portugal international has signed a long-term contract with the Merseyside club and will wear the number 22 shirt. Jota has made 14 appearances for Wolves this season, scoring 4 goals. #LFC #DiogoJota",Sports,Sports
Sony to Acquire MGM Studios in $1.5 Billion Deal,Business,Business
"The coach of disgraced Greek sprinters Kostas Kenteris and Katerina Thanou says IAAF charges against the athletes are groundless and will not result in a suspension, according to reports Friday.",Sports,
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech,
"Amazon's Q4 earnings report shows revenue growth of 22% year-over-year, beating analyst expectations. Shares surge in after-hours trading.",Business,Business
The SEC has postponed by a year its plans to shorten the time companies have to file their annual reports -- a move expected to help firms more easily adopt Sarbanes-Oxley reporting requirements. #business #finance,Business,Business
AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sports,
"AP - Hungry, thirsty and increasingly desperate residents burned tires in protest and attacked each other in a panic to get scarce food and water Thursday as workers struggled to bury hundreds of victims of Tropical Storm Jeanne.",World,
The biggest-selling electronic product in the world is mobile phones. Analysts estimate that consumers from Canada to China will snap up more than 600 million handsets this year -- five times the number of TVs or personal computers expected to sell.,Sci/Tech,
"Brian Cashman didn't lose his job because the Yankees lost control of the American League Championship Series. Owner George Steinbrenner has told the team's general manager that he will not be fired before next season. Cashman, who expected to be summoned to Tampa for meetings soon, believes he knows what he needs to look for in the offseason. 'It'll be ...', he said with a grin.",Sports,Sports
Reuters - The Sudanese foreign minister rejected on\Friday a U.S. declaration of genocide in the Darfur region of\Sudan and said the United States was using a humanitarian\crisis for political purposes.,World,
"Researchers at MIT have developed a new AI algorithm that can generate realistic images of medical conditions, such as tumors, with 90% accuracy. This could potentially revolutionize the field of medical imaging and improve diagnosis rates. #medicalimaging #AI",Sci/Tech,Sci/Tech
"Former Fresno State standout Nick Watney recovered from a double-bogey on the seventh hole to shoot 1 under and tie for the third-round lead Saturday in the Nationwide Tour Championship at the Robert Trent Jones Golf Trail in Prattville, Ala.",Sports,
"Nintendo, Sony ready rival portable gaming devices. Which one will gamers go for?",Sci/Tech,
Intel Corp. is expected to release a faster version of its powerful but expensive Pentium 4 Extreme Edition processor on Monday alongside the introduction of a chipset that uses a faster front-side bus to connect the processor and the memory.,Sci/Tech,
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sports,
IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.,Sci/Tech,
"Researchers have discovered a new species of ancient human in the Philippines, which may have co-existed with modern humans as recently as 50,000 years ago. The findings were published in the journal Nature and shed new light on the origins of the human species. #SciTech #Archaeology #HumanEvolution",Sci/Tech,Sci/Tech
"So a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many old hubcaps for the trash heap. Only this stuff floated away in space.",Sci/Tech,
"FONTANA, CA.California native Casey Mears was glad to be home. So glad in fact, he put his No. 41 Dodge on the Busch Series pole position for Saturday #39;s Target House 300 run on the two-mile California Speedway.",Sports,
TOKYO - Sony Corp is attempting to claw back market share of the domestic flat-panel TV market with the launch of eight new televisions.,Sci/Tech,
"Gary Price checks in with web search pioneer Matthew Koll, who shares his thoughts on the current and future state of the industry.",Sci/Tech,
Samsung unveils new flagship smartphone with cutting-edge technology,Business,Business
An obscure amendment attached to an appropriations bill could throw a wrench into presidential candidate John Kerry''s plans to fund embryonic stem cell research. By Kristen Philipkoski.,Sci/Tech,
"CLEMSON, S.C. -- Charlie Whitehurst threw an 11-yard touchdown pass to Kyle Browning in the second overtime, which lifted No. 15 Clemson to a 37-30 victory over Wake Forest yesterday.",Sports,
"FOXBORO, Mass.  Bill Belichick took a few minutes Monday to convey his congratulations to his offensive coordinator on becoming Notre Dame #39;s head coach.",Sports,
Some 800 Palestinian detainees in Israel #39;s Ashkelon prison have suspended their 13-day-old hunger strike until Monday after some of their demands were met.,World,
"An Australian man found himself in hot water, when he was arrested for taking pictures of topless sunbathers with his camera phone.",Sci/Tech,
Delta Air Lines managers and pilots will meet again today and likely negotiate through the weekend to find a way to keep the airline staffed with pilots as many opt for early retirement.,Business,
"Researchers at MIT have developed a new material that can absorb and convert 100% of the sun's energy, making it a promising solution for sustainable energy production. The material, called 'solar absorber,' is made of a combination of materials that are able to absorb light from the sun and convert it into electrical energy. The team believes that this technology could be used to create more efficient solar panels and help reduce our reliance on fossil fuels. #solarenergy #sustainability",Sci/Tech,Sci/Tech
"LONDON (Ticker) -- The United Nations has announced that the number of refugees worldwide has reached a record high of 26 million, with the majority coming from Syria, Afghanistan, and South Sudan. The organization is urging countries to provide more support to help address the crisis.",World,World
"NASA's new spacecraft, the Artemis I, has successfully entered into orbit around the Moon, marking a major milestone in the space agency's plans to return humans to the lunar surface by 2024. The spacecraft is carrying a number of advanced scientific instruments, including a lunar laser ranging experiment and a space-based gamma-ray detector, which will help scientists better understand the Moon's geology and potential resources for future human exploration. #SciTech #NASA",Sci/Tech,Sci/Tech
"LeBron James scores 50 points in Cavaliers' win, leads NBA in scoring for 10th time. #NBA #Cavs #LeBronJames",Sports,Sports
"Toshiba will market laptops with HD-DVD drives by the end of next year, becoming one of the first manufacturers to commit to a next-generation DVD format.",Sci/Tech,
U.S. tanks and snipers took up positions near the revered Imam Ali Shrine and engaged in fierce battles with militants.,World,
Apple to Acquire Tesla in Blockbuster Deal,Business,Business
"The study, which was conducted by Yahoo and media agency OMD, examined the way in which 13 US households reacted to being denied access to the internet for two weeks.",Sci/Tech,
"Reciprocal Links Are Not Evil\\I will repeat, reciprocal links are not evil. All this discussion in the forums about how people only want one-way links because they heard reciprocal links are bad and can get you kicked out of the search engines is taken way out of proportion. One example ...",Sci/Tech,
"Researchers at MIT have developed a new AI system that can generate realistic images of objects and scenes, using only a verbal description. The system, called 'Visual Talk,' uses natural language processing to analyze the text description and generate a photorealistic image. The technology has potential applications in fields such as entertainment, education, and accessibility. #SciTech #AI #VisualTalk",Sci/Tech,Sci/Tech
"The United Nations has announced that it will hold an emergency meeting to address the ongoing crisis in Yemen. The meeting will bring together representatives from over 50 countries to discuss potential solutions to the conflict, which has left thousands of civilians dead or displaced. The UN Secretary-General has called for an immediate ceasefire and the withdrawal of foreign forces from the country.",World,World
"The Blue Raiders knew their coach, Whit Horton, would be retiring after their final game. Yesterday, they gave Horton the best retirement gift possible, the MIAA Division 2 state title, taking a 1-0 win over their rivals. The team's hard work and dedication paid off in the end, and they celebrated their victory with Horton on the field.",Sports,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports,Sports
"NASA's Parker Solar Probe has successfully entered the sun's corona, becoming the first spacecraft to ever do so. The probe, launched in 2018, has been studying the sun's outer atmosphere and has made several groundbreaking discoveries. #ParkerSolarProbe #Sun #SpaceExploration",Sci/Tech,Sci/Tech
"Syrian refugees arrive in Germany, seeking safety and a new life after fleeing war-torn homeland. #Syria #Germany #refugees",World,World
"The Dow Jones Industrial Average closed up 150 points today, led by gains in tech stocks. Apple's stock price reached an all-time high, surpassing $200 per share. Investors remain optimistic about the company's upcoming product launches and strong demand for its iPhones. #business #stockmarket #Apple",Business,Business
Lebron James scores 50th career triple-double as Lakers defeat Warriors 120-118,Sports,Sports
"Barcelona held on from an early Deco goal to edge game local rivals Espanyol 1-0 and carve out a five point tabletop cushion. Earlier, Ronaldo rescued a point for Real Madrid, who continued their middling form with a 1-1 draw at Real Betis.",Sports,
"NASA's Parker Solar Probe has successfully entered the Sun's corona, becoming the first mission to ever do so. The probe, launched in 2018, has been studying the Sun's outer atmosphere and providing groundbreaking insights into the solar wind and its effects on space weather. #SolarProbe #Sun #SpaceWeather",Sci/Tech,Sci/Tech
"Syrian refugees are facing a new challenge as they try to rebuild their lives in Europe. Many are struggling to find affordable housing, and some have been forced to live in makeshift camps. The situation is dire, with winter approaching and many families facing the prospect of homelessness.",World,World
PARIS -- Gael Monfils of France reached the quarterfinals in his first ATP tournament three weeks ago. Lleyton Hewitt made sure he did not duplicate the feat at the Paris Masters.,Sports,
SPACE.com - The tenth crew of the \International Space Station (ISS) made a short spaceflight early Monday to move a Russian lifeboat \to a new docking port and prepare the station for a pair of upcoming spacewalks.,Sci/Tech,
"Researchers at MIT have developed a new AI system that can generate realistic images of objects and scenes, even when the objects are not present in the training data. The system uses a technique called 'generative adversarial networks' to create the images, which could have applications in fields such as entertainment, education, and product design.",Sci/Tech,Sci/Tech
AP - Former All-Star forward Jamal Mashburn will miss the entire 2004-05 NBA season because of a knee injury that could end his career.,Sports,
"The ongoing conflict in Ukraine has entered its fifth year, with no end in sight. The situation remains dire, with both sides accusing each other of aggression and violations of ceasefire agreements. The humanitarian crisis deepens, with millions of people in need of aid and shelter. International efforts to broker a peace deal have so far been unsuccessful, leaving the region in a state of limbo.",World,World
"We should be using probes to look for life in space instead of radio signals, say scientists.",Sci/Tech,
"WASHINGTON -- The US Chamber of Commerce filed an emergency motion yesterday seeking a court order to block the Securities and Exchange Commission from requiring that 75 percent of mutual fund directors, including the chairman, be independent of the fund company.",Business,
"Syrian Refugees Find Safety in Germany, but Challenges Remain",World,World
"Syrian refugees arrive in Germany, seeking safety and a new start",World,World
"Syrian refugees arrive in Germany, seeking safety and a new life",World,World
Speakeasy receives investment from Intel to test new wireless internet technology,Business,Business
NASA's Artemis program aims to send the first woman and the next man to the lunar surface by 2024. The program also includes plans to establish a sustainable presence on the Moon and pave the way for further human exploration of the solar system. #NASA #ArtemisProgram #MoonExploration,Sci/Tech,Sci/Tech
"NASA's Juno spacecraft has captured stunning images of Jupiter's Great Red Spot, a massive storm that has been raging for centuries. The pictures were taken during the spacecraft's close flyby of the planet and show the storm in unprecedented detail. Scientists are hopeful that the images will help them better understand the storm's structure and how it has been affecting Jupiter's atmosphere. #JunoJupiter #GreatRedSpot",Sci/Tech,Sci/Tech
"Syrian President Bashar al-Assad has announced that his country will be withdrawing from the International Criminal Court, citing the need to protect its sovereignty. This move comes amidst ongoing international pressure on the Syrian government to account for war crimes committed during the country's devastating civil war.",World,World
"DALLAS (AP) - Dirk Nowitzki scored 25 points, including a go-ahead three-pointer with 31 seconds left, to lead the Dallas Mavericks to a 95-92 victory over the Los Angeles Lakers on Tuesday night. Nowitzki also had 10 rebounds and 4 assists as the Mavericks won their second straight game.",Sports,Sports
Researchers at MIT have developed a new AI algorithm that can predict the likelihood of a patient developing a severe case of COVID-19 based on their social media activity. The algorithm uses natural language processing to analyze social media posts and identify patterns that indicate a higher risk of severe illness. The study could help healthcare providers prioritize patients who need closer monitoring and treatment.,Sci/Tech,Sci/Tech
The Internet megasite eBay yelled  #39;hold the cheese #39; when they found a 10-year-old grilled cheese sandwich that its owner says bears the image of the Virgin Mary being auctioned off on its website.,Sci/Tech,
What: MIAA Division 3A Super Bowl. Where: Bentley College in Waltham. When: Saturday at 10 a.m. Last meeting: Schools have never met. .,Sports,
Lionel Messi scores hat-trick as Barcelona thrashes Real Betis in La Liga,Sports,Sports
"Sony has embarked on a potential collision course with music groups, including its own Sony BMG joint venture, over MP3 digital song files.",Sci/Tech,
"AP - Minnesota Timberwolves center Michael Olowokandi was suspended by the team for a second game Friday night, one day after police used a stun gun to subdue him when he refused to leave a club.",Sports,
"AP - LeBron James scored 40 points in the Miami Heat's 105-94 win over the Chicago Bulls on Wednesday night, leading his team to their fifth straight victory. James, who was named NBA Finals MVP last season, has been in top form this season, leading the Heat to the top of the Eastern Conference standings.",Sports,Sports
Jewish leaders expressed growing frustration this week with continuing anti-Semitic violence in Europe following the torching of a Jewish community center in Paris early Sunday.,World,
