text,label
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
Rioting breaks out in Hong Kong after China imposes controversial new security law,World
Major power shift in the Middle East as Saudi Arabia and Israel establish diplomatic relations,World
Major power shift in the Middle East as Saudi Arabia and Israel reportedly in talks for peace deal. Could this be the start of a new era of cooperation? #World #Diplomacy,World
"Massive protests erupt in Hong Kong over proposed extradition bill, as thousands gather in central district to demand government withdrawal. #HongKongProtests #ExtraditionBill",World
Scientists discover new species of ancient virus in Antarctic ice,Sci/Tech
Riots break out in Paris as protesters demand climate action,World
"New study reveals the top skills required for success in the modern workplace. According to the study, critical thinking, creativity, and effective communication are the most important skills for career advancement. The study also found that workers who prioritize their mental health and well-being are more likely to be satisfied with their jobs and have better work-life balance. #business #careeradvice #mentalhealth",Business
"New study reveals that automation could create 200,000 new jobs in the next decade. Despite fears of job loss, experts say that AI will lead to new opportunities in fields like data analysis and cybersecurity. #business #automation #jobs",Business
Lewis Hamilton wins record-breaking 7th Formula One World Championship,Sports
"One of the tongue-in-cheek rules that we column-writers have is,  quot;Often wrong, never in doubt. quot; Take a stand, don #39;t duck and weave too much.",Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
Rioting Erupts in Hong Kong as Protesters Clash with Police,World
"Global economy sees steady growth in Q2, despite trade tensions",Business
"Mass protests erupt in Hong Kong over China's new extradition bill, with thousands marching through the streets and demanding the bill's withdrawal. #HongKongProtests #China #ExtraditionBill",World
Lionel Messi scores hat-trick in Barcelona's 3-0 win over Real Madrid,Sports
Singapore #39;s Prime Minister Lee Hsien Loong on Sunday night delivered his first National Day Rally speech since he was sworn in as the country #39;s third Prime Minister.,World
New Study Finds Majority of Small Businesses Not Prepared for Cyber Attacks,Business
Scientists discover new species of ancient human in Africa,Sci/Tech
"Mass protests erupt in Hong Kong over proposed extradition bill, sparking fears of political unrest and human rights abuses. #HongKongProtests #ExtraditionBill",World
"Major power shift in the Middle East as Saudi Arabia and Israel establish diplomatic relations, marking a new era in regional politics. #World #Diplomacy",World
Researchers discover new species of ancient fungus in Amazon rainforest. #SciTech #AmazonRainforest,Sci/Tech
"Stock market sees record highs as tech stocks surge. Apple, Amazon, and Microsoft lead the way. #business #stockmarket #techstocks",Business
Lionel Messi scores hat-trick in Barcelona's victory over Real Madrid,Sports
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
Google Announces New AI-Powered Chatbot for Small Business Owners,Business
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
Lionel Messi scores hat-trick as Barcelona beats Real Madrid in El Clásico,Sports
"Researchers discover new species of ancient human in Africa, challenge long-held theories about human evolution",Sci/Tech
Lebron James scores 50th career triple-double in thrilling win for Lakers,Sports
Sales of electric vehicles surge as consumers embrace sustainable transportation. Tesla leads the way with a 50% increase in quarterly sales. Other automakers are following suit with new EV models and incentives. #Tesla #ElectricVehicles #SustainableTransportation,Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico thriller,Sports
"The world #39;s first private spaceship has blasted into the final frontier for the second time in five days, snatching the nearly 14-million dollar prize and founding a new era of space tourism.",Sci/Tech
Microsoft to Acquire Activision Blizzard in $68 Billion Deal,Business
Researchers at MIT have developed a new AI algorithm that can analyze medical images with unprecedented accuracy. The algorithm could revolutionize the field of medical imaging and improve patient outcomes. #SciTech #AI #MedicalImaging,Sci/Tech
"Scientists discover new species of ancient fungus in the Amazon rainforest. The fungus, which is believed to be millions of years old, provides insight into the evolution of life on Earth. #SciTech #AmazonRainforest",Sci/Tech
"Samsung unveils new line of AI-powered smartphones, poised to revolutionize the industry",Business
Global stock markets experience turbulence as trade tensions escalate,Business
Major tech giants to face antitrust probe in US,Business
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
"Massive earthquake strikes Indonesia, at least 168 dead and over 100,000 displaced. Rescuers race against time to reach survivors buried under debris. #earthquake #Indonesia #disasterrelief",World
"Major tech companies are investing heavily in renewable energy sources, as concerns about climate change and sustainability continue to grow. Google has announced plans to power its data centers with 100% renewable energy, while Amazon has pledged to reach net-zero emissions by 2040. As the technology sector continues to evolve, it's clear that sustainability will play an increasingly important role in the industry's future.",Business
"Nintendo, Sony ready rival portable gaming devices. Which one will gamers go for?",Sci/Tech
Researchers discover new species of ancient sea creature in Antarctic ice,Sci/Tech
Coach Bill Cowher finally confirmed yesterday the Pittsburgh Steelers'' worst-kept secret: Duce Staley is in at running back and Jerome Bettis is out again.,Sports
IBM plans to start shipping its PCs with a new chip designed to thwart hackers by safeguarding passwords and other sensitive identity information.,Sci/Tech
Global tensions rise as Russia launches military operation in Ukraine,World
"So a few weeks ago, the two astronauts who live there tossed out some useless junk, like so many old hubcaps for the trash heap. Only this stuff floated away in space.",Sci/Tech
Massive protests erupt in Hong Kong as China introduces controversial new security law,World
"Researchers have discovered a new species of ancient fungus in the Amazon rainforest, which could provide insights into the evolution of life on Earth. The fungus, which dates back over 100 million years, has a unique mechanism for photosynthesis and could lead to new approaches in agriculture and medicine. #SciTech #AmazonRainforest #Fungus",Sci/Tech
"Riots break out in Paris over new carbon tax, protesters clash with police",World
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
Lionel Messi scores hat-trick in Barcelona's win over Real Madrid,Sports
"Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. The new material, called Aerographene, is a highly efficient and sustainable solution for reducing carbon emissions. According to the study, Aerographene could potentially capture and convert up to 90% of carbon dioxide emissions from power plants and industrial processes. This breakthrough could have a significant impact on reducing carbon footprint and mitigating climate change. #SciTech #ClimateChange",Sci/Tech
Major power shift in the Middle East as Saudi Arabia and Israel establish diplomatic relations,World
Some 800 Palestinian detainees in Israel #39;s Ashkelon prison have suspended their 13-day-old hunger strike until Monday after some of their demands were met.,World
"Scientists discover new species of ancient human in Africa, challenging traditional views on human evolution",Sci/Tech
"Researchers at MIT have developed a new material that can absorb and convert carbon dioxide into oxygen at an unprecedented rate. The new material, called 'CarbonCure', has the potential to significantly reduce carbon emissions and help combat climate change. #SciTech #ClimateChange",Sci/Tech
New study reveals how brain's neural networks adapt to learning new skills. Findings could lead to better brain training methods. #neuroscience #brainplasticity,Sci/Tech
Major power shift in the Middle East as Saudi Arabia and Egypt announce plans to form a united front against Iran's growing influence in the region. #World #MiddleEast,World
Global Market: Apple's New Product Launch to Disrupt Industry,Business
"Massive protests erupt in Hong Kong over proposed extradition bill, as tensions between China and the US continue to escalate. #HongKongProtests #China #US",World
"Massive protests erupt in Hong Kong over proposed extradition bill, with thousands marching through the streets and demanding the withdrawal of the bill. #HongKongProtests #ExtraditionBill",World
U.S. tanks and snipers took up positions near the revered Imam Ali Shrine and engaged in fierce battles with militants.,World
"Researchers at MIT have developed a new AI algorithm that can analyze medical images with unprecedented accuracy. The algorithm could revolutionize the diagnosis and treatment of diseases, particularly cancer. #SciTech #AI #MedicalImaging",Sci/Tech
"The study, which was conducted by Yahoo and media agency OMD, examined the way in which 13 US households reacted to being denied access to the internet for two weeks.",Sci/Tech
"New study reveals that automation could create 100,000 new jobs in the next decade. Despite fears of job loss, experts say that automation will actually boost economic growth and create new opportunities. #automation #jobs #economicgrowth",Business
Lionel Messi scores hat-trick as Barcelona beats Real Madrid 3-2 in El Clásico,Sports
"Stock market sees surge in tech stocks, Dow Jones reaches new highs",Business
"Major tech companies are facing antitrust scrutiny from regulators in multiple countries. The Wall Street Journal reports that Google, Amazon, and Facebook are all under investigation for their market dominance and potential abuse of power. The probes come as the companies continue to expand their reach and influence in the global economy.",Business
Global stock markets experience turbulence as investors react to geopolitical tensions,Business
Researchers discover new species of ancient human in the Philippines,Sci/Tech
"Researchers at MIT have developed a new material that can absorb and convert 100% of the sun's energy, making it a promising solution for sustainable energy storage. The new material, called 'SolarSkin,' is made from a combination of organic and inorganic materials and is able to harness the full spectrum of sunlight, including UV and infrared rays. According to the researchers, SolarSkin could be used to create more efficient solar panels and other energy-harvesting devices, potentially leading to a significant reduction in the world's reliance on fossil fuels. #SolarSkin #SustainableEnergy #RenewableEnergy",Sci/Tech
Lionel Messi scores hat-trick in Barcelona's 5-0 win over Levante,Sports
