text,label
&lt;strong&gt;Review&lt;/strong&gt; Quite a tempting package?,Sci/Tech
"The company asked customers to accelerate deals in order to bolster earnings--a ploy to exaggerate profits, Oracle lawyers say.",Sci/Tech
"Wireless phone service can''t be purchased on price alone -- first, you need to decide which carrier to go with, since not all offer the same service. &lt;FONT face=''verdana,MS Sans Serif,arial,helvetica'' size=''-2''\ color=''#666666''&gt;&lt;B&gt;-Rob Pegoraro&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
"In their first year in the ACC, No. 10 Virginia Tech at No. 9 Miami (8-2) will be playing for at least a share of the conference title and the BCS berth that goes along with it.",Sports
"A massive rise in phishing attacks this year may lead on to customised email security attacks targeted specifically at individual or small groups of companies, according to email security firm MessageLabs.",Sci/Tech
"WASHINGTON -- A highly classified US intelligence assessment that lays out dismal predictions for the future of Iraq -- including the possibility of civil war by 2005 -- mirrors assessments that are being made by analysts around the world, according to diplomats and members of the intelligence community.",World
"GAZA CITY, Gaza Strip - Israeli helicopters attacked a Hamas training camp early Tuesday, killing at least 14 militants and wounding 30 others in one of the deadliest airstrikes since fighting broke out four years ago.    The attack came a week after Hamas suicide bombers blew up two buses in the Israeli city of Beersheba, killing 16 people...",World
 SEOUL (Reuters) - South Korea Monday shrugged off North  Korean criticism of the South''s experiments with nuclear  materials as familiar posturing that would not rule out the  mercurial communist North''s return to atomic arms talks.,World
Game-friendly desktop PC uses fans and a wind tunnel to bring down the temperature and the noise.,Sci/Tech
"AP - A rapidly strengthening Hurricane Ivan churned closer to the Caribbean, packing sustained winds of 135 mph with meteorologists saying it''s possible that the system could reach Category 5 status.",World
The software developer will become a licensee of the Digeo technology in the case.,Sci/Tech
"India News, Nagpur,Damien Martyn Tuesday cracked his career #39;s ninth Test century to put Australia in a strong position against India on the first day of the third Test at the Vidarbha Cricket Association (VCA) ground here.",Sports
Scientists are hoping that ''playing'' a tiny guitar string will be able to help weigh molecules to find out what they are.,Sci/Tech
"The UK might be ''better off'' with fewer - but larger and better-funded - chemistry departments, a leading academic says.",Sci/Tech
"Chip giant Intel announced that it has joined forces with the world #39;s largest handset maker, Nokia, to develop the next generation mobile phone.",Sci/Tech
Mozilla the company behind the overnight success Firefox 1.0 has launched an email client to go up against Microsofts Outlook Express email client.,Sci/Tech
"Globular star clusters are like spherical cathedrals of light -- collections of millions of stars lumped into a space only a few dozen light-years across. If the Earth resided within a globular cluster, our night sky would be alight with thousands of stars more brilliant than Sirius.",Sci/Tech
"AP - In a fitting end to the PGA Tour season, U.S. Open champion Retief Goosen closed with a 6-under 64 to win the Tour Championship on Sunday by four shots and become only the third player to overtake Tiger Woods in the final round.",Sports
AUSTIN Farmers Insurance today announced plans to cut its Texas homeowners insurance rates by five percent in a settlement with the state.,Business
The company is reasonably certain that it can maintain previously issued earnings guidance.,Sci/Tech
"US blue chips ended lower on Monday after a disappointing sales forecast from the world #39;s biggest retailer, Wal-Mart Stores Inc.",Business
Chelsea manager Jose Mourinho could hardly find enough superlatives to describe his side #39;s 3-0 win at Paris St Germain in their Champions League opener.,Sports
"Reuters - A tiny telescope has spotted a giant\planet circling a faraway star, using a technique that could\open a new phase of planetary discovery, scientists said on\Tuesday.",Sci/Tech
Insurance firm says its board now consists of its new CEO Michael Cherkasky and 10 outside members. NEW YORK (Reuters) - Marsh  amp; McLennan Cos.,Business
"After years of battling Microsoft Corp., Sun Microsystems Inc. has set its sights on Linux vendors, seeking to jump into a low-end but high-volume market it #39;s been accused of ignoring.",Business
The US House of Representatives on Tuesday approved a bill that would increase jail time for identity thieves and other fraudulent Web users who register sites under false identities.,Sci/Tech
"MIAMI - Nearly a half-million people were ordered to evacuate as Hurricane Frances swirled toward Florida on Wednesday just weeks after Charley''s devastating visit, threatening to deliver the most powerful one-two punch to hit a state in at least a century.    Those planning to ride out the storm snapped up canned food, water and generators, while military helicopters and planes were flown out of the area and Cape Canaveral''s Kennedy Space Center said it would close on Thursday...",World
"Austin Kearns tied the game with a two-out double in the ninth inning, then hit a two-run homer in the 12th and the Cincinnati Reds dealt the Chicago Cubs a key loss, 4-3 Wednesday.",Sports
"NAJAF, Aug 17: An Iraqi peace delegation urged Shia leader Moqtada Sadr on Tuesday to call off his uprising in Najaf, and on the battlefront US troops pounded militia positions near the country #39;s holiest sites. ",World
"Reuters - U.S. planes unleashed a fierce\attack on rebel targets in Najaf early on Thursday, a Reuters\witness said.",World
"Reuters - Nokia (NOK1V.HE) is set to unveil\another attempt at a mobile phone designed for television and\video, which is thinner and lighter than its predecessor which\never made it to the market, a source said on Monday.",Sci/Tech
